Series_01_x	Series_01_y
-59.1237	95.0878
-26.8974	89.7793
-37.7272	85.2433
-10.015	79.8606
-13.9922	75.0164
-5.52741	69.3503
-0.0372709	64.742
-3.82332	59.6875
-30.6661	54.38
-8.74398	49.3893
-8.46087	44.4946
-45.76	39.1662
-2.33575	34.3458
0.0590881	28.7738
-0.470334	23.8886
-0.181805	18.8142
-0.716631	13.4106
-0.0064121	9.04395
-1.01112	3.15421
